Marking	English	Abbreviated Form	Full Form	Equivalent	Subfield1	Subfield2	Chinese	Recommendation	Count	A) 理論與應用語言學英漢辭典	B) 語言學名詞2011	C) 現代語言學詞典	D) 新編英漢語言學詞典	E) LSHK	Sort1
	allo-				GEN		～變體	R				√			0
	allo-				#		變體	D		√					2
	allo-						變體前綴						√		100
	allochrone						音長變體						√		100
	allocution						稱呼						√		100
	alloflex						屈折語素變體						√		100
*	allograph			variant character	WRS		異體字	R			√				0
	allograph				WRS		字素變體	A		√					1
	allograph				WRS		書寫變體	A		√					1
	allograph				WRS		字素變體	A					√		1
	allograph				#		字位變體	D					√		2
	allographs				#		字位變體	D				√			2
	allokine						手勢語結構單位的變體						√		100
	allolog						語詞變體						√		100
	allomorph				MOR		語素變體	R		√		√			0
	allomorph				MOR		語素變體	R					√		0
	allomorph				MOR		語詞變體	A		√					1
	allomorph						詞素變體						√		100
	allonym						地名變體						√		100
	allonym						人名、地名變體						√		100
*	allophone			allophonic variant	PHN		音位變體	R					√		0
	allophone				PHN		音位變體	R		√	√				0
	allophone				PHN		同位音	A		√					1
	allophone				PHN		音素變體	A		√					1
	allophone				#		音值	D		√					2
	allophone				#		音子	D		√					2
	allophones				#		音位變體	D				√			2
*	allophonic change			phonetic sound change			語音變化						√		100
	allophonic realization						音位體現						√		100
	allophonic transcription				PHN		音位變體轉寫法	A				√			1
	allophonic transcription				#		同位音注音	D		√					2
	allophonic transcription				#		音值注音	D		√					2
	allophonic transcription				#		音子注音	D		√					2
*	allophonic variant			allophone			音位變體						√		100
	alloseme				SEM		義位變體	R		√		√			0
	alloseme				#		義素變體	D		√					2
	alloseme				#		義素變體	D					√		2
	allotagma				GEN		法位變體	R		√		√			0
	allotagma				GEN		法位變體	R					√		0
	allotagma				GEN		法素變體	A		√					1
	allotone(me)						調位變體						√		100
	allusion				OTH		典故	R		√					0
	allusion				OTH		暗指	R						√	0
	allusion				OTH		暗用	A			√				1
	allusion				OTH		用事	A			√				1
	allusion				OTH		用典	A			√				1
	allusion				#		援引	D			√				2
	allusion						引喻						√		100
	Alpha-movement						移動α						√		100
	alphabet						字母表						√		100
	alphabetic method						字母教學法						√		100
	alphabetic writing						拼音文字						√		100
	alphabetic writing						字母文字						√		100
